Kids_First_Biospecimen_ID_RNA	sample_id	composition	cluster_assigned	Kids_First_Biospecimen_ID_DNA	tmb
BS_F0ZP45KB	7316-2612	Solid Tissue	2	BS_Z6FMPMDH	0.08336880907739601
BS_F1K9QTBS	7316-8865	Solid Tissue	2	BS_SJ8T591F	0.22231682420638935
BS_F349AQKV	7316-7494	Solid Tissue	2	BS_PDF449DD	0.16673761815479202
BS_F37P8QT7	7316-3499	Solid Tissue	3	BS_ZSY7YJP8	0.33347523630958403
BS_F4E8R9VY	7316-914	Solid Tissue	3	BS_GXACEYKB	0.2778960302579867
BS_F77MGAQT	C4118532-Tumor	Solid Tissue	1	BS_87HS6R4E	21.554871558395416
BS_F8N6CFQE	7316-3154	Solid Tissue	1	BS_32HAVF6S	0.13894801512899335
BS_FAQQ0GCQ	7316-2571	Solid Tissue	2	BS_NB509KST	0.2778960302579867
BS_FGQA2S06	7316-3666	Solid Tissue	3	BS_CZH321FD	0.13894801512899335
BS_FJWZ3M7V	7316-1779	Solid Tissue	1	BS_E2RXQ3JW	0.3890544423611814
BS_FJZPQZ2C	7316-3923	Solid Tissue	1	BS_NCGGFG6H	0.4446336484127787
BS_FR42HY0Z	7316-7511	Solid Tissue	3	BS_WCX9HT5Y	0.02778960302579867
BS_FZRCFK0W	7316-2735	Solid Tissue	2	BS_W5R5QAKY	0.13894801512899335
BS_G1DAGKSY	7316-4538	Solid Tissue	3	BS_XT07QSBH	0.13894801512899335
BS_G5QBBHDV	7316-184	Solid Tissue	1	BS_D09VWF8H	0.22231682420638935
BS_G7AGNB5G	7316-77	Solid Tissue	3	BS_HW4J7JM8	0.2778960302579867
BS_G9219PMD	7316-7940	Solid Tissue	3	BS_4SEM9YES	0.1945272211805907
BS_G9XE3N9T	7316-3575	Solid Tissue	3	BS_CQ8C6X4X	0.25010642723218807
BS_GCA4GET3	7316-162	Solid Tissue	3	BS_WRJNMEX2	0.11115841210319467
BS_GHNJ4CYC	7316-2184	Solid Tissue	1	BS_THH0CE5A	0.11115841210319467
BS_GHZJ8FX3	7316-1984	Solid Tissue	2	BS_27MJ4W3N	0.3612648393353827
BS_GMF4ABXJ	7316-4456	Solid Tissue	3	BS_2HNT5VE7	0.16673761815479202
BS_GPEGRCCT	7316-934	Solid Tissue	2	BS_NHRNZRQV	0.3890544423611814
BS_GTZCFGRZ	7316-3060	Solid Tissue	1	BS_FHE6Z73G	0.3890544423611814
BS_GWCRMKE6	7316-882	Solid Tissue	1	BS_AJ0T7DJ7	0.5280024574901747
BS_GYA4V1RD	7316-3556	Solid Tissue	3	BS_XBBBE8V2	0.08336880907739601
BS_GYXSDZ56	7316-390	Solid Tissue	1	BS_RB8VSEVG	0.6391608695933695
BS_H0TJS3RZ	7316-7095	Solid Tissue	3	BS_JM6QMX7X	0.33347523630958403
BS_H0WF1WHE	C4118655-Tumor	Solid Tissue	3	BS_VEK54PE0	4.117222657221596
BS_H3FE3TH9	7316-3203	Solid Tissue	1	BS_MZJJRDZF	0.9448465028771548
BS_H8A9PSYA	7316-495	Solid Tissue	1	BS_FQ2ZBMPA	0.13894801512899335
BS_H9EX5WX3	7316-6032	Solid Tissue	3	BS_VJY45WV4	0.1945272211805907
BS_HA20Y4XY	7316-2667	Solid Tissue	2	BS_W9FW1PAE	0.7503192816965641
BS_HC5M8JTC	7316-1084	Solid Tissue	1	BS_YEWX69X4	0.4724232514385774
BS_HK9P0Q4G	7316-4349	Solid Tissue	3	BS_1FW0H2V1	0.3056856332837854
BS_HM0R6SXQ	7316-6646	Solid Tissue	2	BS_R1V343SK	0.16673761815479202
BS_HNMQ7488	7316-3682	Solid Tissue	2	BS_7A6FPCZR	0.1945272211805907
BS_HQ5BJ6MW	7316-134	Solid Tissue	1	BS_SK949N33	0.13894801512899335
BS_HQDXQ5Y4	7316-4427	Solid Tissue	3	BS_8Q0XYNY0	0.25010642723218807
BS_HQYGYPCV	7316-3086	Solid Tissue	2	BS_1790XKNY	0.22231682420638935
BS_HSHN8PBB	7316-1081	Solid Tissue	1	BS_3DYRAZE7	0.08336880907739601
BS_HSPV8GXC	7316-2979	Solid Tissue	2	BS_WHVZY7E7	0.22231682420638935
BS_HSTNFPKW	7316-653	Solid Tissue	2	BS_P33TNDFC	0.1945272211805907
BS_HV8PFRBR	7316-175	Solid Tissue	1	BS_6XP91JM2	0.11115841210319467
BS_HWVD3RH0	7316-3128	Solid Tissue	2	BS_PWYNA3CS	0.25010642723218807
BS_HX0S30NE	7316-1652	Solid Tissue	2	BS_6XHDR1WS	0.22231682420638935
BS_J5H5VXWY	7316-5146	Solid Tissue	2	BS_TJGYXHSA	0.22231682420638935
BS_J9M83K8T	7316-4223	Solid Tissue	2	BS_8GBBVC22	0.11115841210319467
BS_JFR750KD	7316-344	Solid Tissue	1	BS_8S2CZBA6	0.13894801512899335
BS_JG9JZTA9	7316-663	Solid Tissue	1	BS_01Y5F4PN	0.25010642723218807
BS_JGKZ54SA	7316-4738	Solid Tissue	2	BS_A22Q96VJ	0.13894801512899335
BS_JH29M4KG	7316-726	Solid Tissue	1	BS_J6VRW67C	0.7225296786707655
BS_JKDKZSX8	7316-4845	Solid Tissue	3	BS_ECACPSAG	0.16673761815479202
BS_JKXA3FQC	7316-50	Solid Tissue	1	BS_N9N1X78X	0.13894801512899335
BS_JMHG7GCN	7316-1926	Solid Tissue	2	BS_QM1Z8R38	0.22231682420638935
BS_JN3S2H2Z	7316-4439	Solid Tissue	2	BS_JZV7KSF4	0.08336880907739601
BS_JVA2NQFF	7316-3566	Solid Tissue	1	BS_AEMRNSQX	0.6113712665675708
BS_JWSR581E	7316-2729	Solid Tissue	1	BS_3R0KN6Z4	0.11115841210319467
BS_JX4QBM9G	7316-5134	Solid Tissue	3	BS_RB0315XJ	0.2778960302579867
BS_K2VYFVKZ	7316-462	Solid Tissue	1	BS_32JF8TPP	0.8058984877481614
BS_K57A4A9D	7316-7515	Solid Tissue	3	BS_KZMM9BFG	0.08336880907739601
BS_K5802F84	7316-923	Solid Tissue	3	BS_89RCN9PF	1.6117969754963228
BS_K7MVS0Z7	7316-1664	Solid Tissue	1	BS_KG1YMTA4	0.2778960302579867
BS_K838XW6V	7316-5258	Solid Tissue	2	BS_BKZNDX9E	0.33347523630958403
BS_K8ZGHV4D	7316-6532	Solid Tissue	3	BS_9TPM9HC4	0.02778960302579867
BS_KEA474HN	7316-3922	Solid Tissue	1	BS_0S617SMM	31.763516258487883
BS_KPT2WPHW	7316-359	Solid Tissue	3	BS_AXW0XBH8	0.4724232514385774
BS_KSC2H2HV	7316-6137	Solid Tissue	2	BS_3XJNGJ8X	0.1945272211805907
BS_KT975AEF	7316-4267	Solid Tissue	2	BS_P8MY5MXW	0.08336880907739601
BS_KVV7001W	7316-324	Solid Tissue	1	BS_B558FJXC	0.25010642723218807
BS_KX6J8TRK	7316-3762	Solid Tissue	1	BS_Z7R92XX6	0.2778960302579867
BS_M4NVX721	7316-1108	Solid Tissue	2	BS_797V83YM	0.3890544423611814
BS_M4TTKPNR	7316-441	Solid Tissue	1	BS_3QDRWJCF	0.11115841210319467
BS_M62BBERH	C3985200-Tumor	Solid Tissue	3	BS_FWVSVP0T	0.7265687042155758
BS_M8M56Z4Y	7316-393	Solid Tissue	1	BS_9GSWPZ44	0.8336880907739601
BS_M8WP5T16	7316-2989	Solid Tissue	1	BS_2VB8649B	0.4724232514385774
BS_MBQND18D	7316-4676	Solid Tissue	2	BS_ZF7VTJKN	0.5002128544643761
BS_MBSTWZA6	7316-3555	Solid Tissue	1	BS_1VMBA3BN	0.1945272211805907
BS_MCNKFZDF	7316-9805	Solid Tissue	3	BS_12BB065J	0.13894801512899335
BS_ME3HKN2C	7316-70	Solid Tissue	3	BS_K049HVGR	0.08336880907739601
BS_MF47B9ZW	7316-1114	Solid Tissue	3	BS_1RF75MK2	0.5557920605159734
BS_MF9X3PKH	7316-2572	Solid Tissue	2	BS_SMCPASF0	0.08336880907739601
BS_MX92FD6D	7316-6811	Solid Tissue	3	BS_VGP89Y0H	0.05557920605159734
BS_N1E0H8YQ	7316-891	Solid Tissue	1	BS_XKP747AS	0.5835816635417721
BS_N5B2CZMH	7316-2984	Solid Tissue	1	BS_JJNSP29S	0.11115841210319467
BS_N6NE6B3W	7316-1679	Solid Tissue	2	BS_QE5B0T7R	0.22231682420638935
BS_N87X1T8T	7316-3962	Solid Tissue	2	BS_NY6YP0V5	0.08336880907739601
BS_NB5XWMJT	7316-346	Solid Tissue	1	BS_MT5ZSRG4	0.22231682420638935
BS_NBZNAG7Q	C4111275-Tumor	Solid Tissue	1	BS_75BBX7JP	0.24218956807185865
BS_NG9X6SJA	7316-5461	Solid Tissue	2	BS_TBWPXD8S	0.13894801512899335
BS_NPQJ20KX	7316-1711	Solid Tissue	1	BS_6GV08HTE	0.22231682420638935
BS_NQB91P48	7316-127	Solid Tissue	1	BS_K6BMXTW5	0.3056856332837854
BS_NRFQEQKP	7316-20	Solid Tissue	2	BS_VW96PFKQ	0.05557920605159734
BS_NRPG5K4K	7316-2744	Solid Tissue	1	BS_ME97J1GA	0.8892672968255575
BS_NS7GSHB9	7316-2275	Solid Tissue	2	BS_RGSJMSRE	0.1945272211805907
BS_NT9NZYFD	7316-3572	Solid Tissue	3	BS_WJ7GMQTF	0.16673761815479202
BS_NWNB68G0	7316-4459	Solid Tissue	2	BS_229FZNM7	0.05557920605159734
BS_NY5T05AK	7316-4866	Solid Tissue	2	BS_6BB88NQ6	0.16673761815479202
BS_NYS8TRCB	7316-397	Solid Tissue	3	BS_DT92H1MJ	0.5002128544643761
BS_P277RYX5	7316-2680	Solid Tissue	1	BS_GS9JCK55	0.3056856332837854
BS_P2Y2NANM	7316-6778	Solid Tissue	3	BS_39P851A7	0.13894801512899335
BS_PDVD0GCM	7316-7522	Solid Tissue	2	BS_BXP1F9HR	0.2778960302579867
BS_PEP9NZXN	7316-2755	Solid Tissue	1	BS_KYPZRS4S	0.25010642723218807
BS_PK18H7E7	7316-399	Solid Tissue	2	BS_4QFSH7C4	3.3347523630958404
BS_PKW05VZV	7316-325	Solid Tissue	3	BS_1YTHM07J	0.1945272211805907
BS_PN2CE34A	7316-2591	Solid Tissue	1	BS_AXM96K20	0.08336880907739601
BS_PQ6QEVE8	7316-156	Solid Tissue	1	BS_SYGKQD8M	1.6673761815479202
BS_PQ7CQFYR	7316-905	Solid Tissue	1	BS_0YVR8Q4E	0.25010642723218807
BS_PRCG6W20	7316-4511	Solid Tissue	3	BS_3EK4EGFE	0.3890544423611814
BS_Q2PBFNDF	7316-4528	Solid Tissue	2	BS_YXN5KNKB	0.05557920605159734
BS_Q3TBCK4V	7316-2669	Solid Tissue	2	BS_XVYRXN8J	0.6391608695933695
BS_Q6VH5GJ8	7316-6516	Solid Tissue	3	BS_E3MVKCND	0.1945272211805907
BS_Q79NP5YY	7316-733	Solid Tissue	1	BS_P36C0ABE	0.22231682420638935
BS_Q7WNW1AS	7316-237	Solid Tissue	3	BS_GQSMPCN1	0.3890544423611814
BS_QBMW69AM	7316-4874	Solid Tissue	2	BS_JP1WHJNY	0.22231682420638935
BS_QC3XCE6X	7316-1086	Solid Tissue	3	BS_7HC4W4SA	0.7225296786707655
BS_QF5VVZX5	7316-2005	Solid Tissue	3	BS_9W6FK6X4	0.05557920605159734
BS_QH82PBMB	7316-222	Solid Tissue	1	BS_41TD9XET	0.16673761815479202
BS_QMNH45Q2	7316-9438	Solid Tissue	3	BS_9KKHJ6T7	0.16673761815479202
BS_QQE8MWWV	7316-6036	Solid Tissue	2	BS_R407FX2P	0.22231682420638935
BS_QTSXW7DA	7316-3323	Solid Tissue	1	BS_245CTSH9	0.5002128544643761
BS_QV51J756	7316-101	Solid Tissue	3	BS_4RS1SC48	0.41684404538698006
BS_R13X6TMW	7316-2589	Solid Tissue	2	BS_5NAKYS1S	0.13894801512899335
BS_R244Z0WX	7316-1953	Solid Tissue	1	BS_6FV7BDE3	0.41684404538698006
BS_R3AJB6VS	7316-6077	Solid Tissue	2	BS_MXXN64DR	0.16673761815479202
BS_R7V8BC98	7316-6037	Solid Tissue	3	BS_WCMPH1PM	0.3056856332837854
BS_R81XA0F9	7316-8070	Solid Tissue	2	BS_W4XFSP1Q	0.13894801512899335
BS_R9CKW9DY	7316-3671	Solid Tissue	2	BS_EW8SRNV4	0.16673761815479202
BS_RAQFEB0S	7316-9815	Solid Tissue	2	BS_E10P4XYZ	0.05557920605159734
BS_RARBBY7C	7316-4742	Solid Tissue	2	BS_J791FW5S	0.16673761815479202
BS_RC8E5TVQ	7316-6790	Solid Tissue	2	BS_K93KMTGT	0.22231682420638935
BS_RGSMX7QD	7316-1952	Solid Tissue	2	BS_9M49SGAQ	0.2778960302579867
BS_RMT7ABN6	7316-5334	Solid Tissue	2	BS_NHZST6RQ	0.2778960302579867
BS_RNANA568	7316-4727	Solid Tissue	2	BS_T57TTPMZ	0.2778960302579867
BS_RPJ1EPHA	7316-4964	Solid Tissue	2	BS_V0BVS7KZ	0.16673761815479202
BS_RPKA4GF9	7316-6770	Solid Tissue	3	BS_RB9PMC9R	0.16673761815479202
BS_RPZQQM2D	7316-6797	Solid Tissue	2	BS_GZSJHK6J	0.22231682420638935
BS_RRAEQZ97	7316-207	Solid Tissue	1	BS_WQ19Z6MD	0.2778960302579867
BS_RVSEDNJ4	7316-2300	Solid Tissue	3	BS_VDSR4X6N	0.16673761815479202
BS_RWJZFTP9	7316-1805	Solid Tissue	1	BS_Q50P97Y0	0.08336880907739601
BS_S1KK7XRH	7316-938	Solid Tissue	1	BS_PC2YQ4F6	0.8892672968255575
BS_S458NMKH	7316-442	Solid Tissue	1	BS_YGQS4660	0.22231682420638935
BS_S4V9E1XJ	7316-2193	Solid Tissue	1	BS_J037K4BM	0.4724232514385774
BS_S50KQEXV	7316-2172	Solid Tissue	1	BS_KYG3H6C6	0.1945272211805907
BS_S7CZY2CH	7316-381	Solid Tissue	1	BS_4XMJCADX	0.1945272211805907
BS_S9929Z8B	7316-2216	Solid Tissue	1	BS_FJEBFQHG	0.08336880907739601
BS_SDA4RMMG	7316-1134	Solid Tissue	3	BS_N8D9FH6M	0.4446336484127787
BS_SDZY6RZ3	7316-168	Solid Tissue	1	BS_WXKCR17Q	0.3056856332837854
BS_SFKZSJN1	7316-84	Solid Tissue	3	BS_HW4MYBZ2	0.16673761815479202
BS_SH2S6SFN	7316-5460	Solid Tissue	2	BS_YZJG4EAJ	0.08336880907739601
BS_SHMC4902	7316-400	Solid Tissue	1	BS_4M0ZMCDC	0.4724232514385774
BS_SJ0HXCD0	7316-6141	Solid Tissue	2	BS_DKB694QC	0.13894801512899335
BS_SQERZ97M	7316-6597	Solid Tissue	3	BS_V6T69KC1	0.05557920605159734
BS_SQX5E15Z	7316-2725	Solid Tissue	1	BS_KKWQW01N	0.5002128544643761
BS_SW6YC2DG	7316-3321	Solid Tissue	2	BS_62M8KTFG	0.25010642723218807
BS_SW8C9Y5Y	7316-4275	Solid Tissue	2	BS_XTWVBVTC	0.13894801512899335
BS_SXRS2P6T	7316-1978	Solid Tissue	2	BS_4ZKN0WGS	0.4724232514385774
BS_T0MXH2CA	7316-2786	Solid Tissue	2	BS_H88T2AEG	0.3056856332837854
BS_T11NFKSD	7316-4541	Solid Tissue	3	BS_M0RPBCRE	0.16673761815479202
BS_T1W4JA94	7316-297	Solid Tissue	1	BS_T97EP8H0	0.08336880907739601
BS_T2QPMZCM	7316-2174	Solid Tissue	3	BS_JJWC13GG	0.6669504726191681
BS_T2X8ZD79	7316-6662	Solid Tissue	3	BS_0QESMKKG	0.05557920605159734
BS_T3H5AY8A	7316-350	Solid Tissue	1	BS_E7HEQZ1K	0.22231682420638935
BS_T4JFN54G	7316-957	Solid Tissue	1	BS_WB8P21ED	0.3056856332837854
BS_T55Y4Z0Y	7316-1095	Solid Tissue	1	BS_YZ2YNEJJ	0.6391608695933695
BS_T5P5ME9M	7316-5152	Solid Tissue	2	BS_4QMRRWCX	0.3612648393353827
BS_TDJXQBVY	7316-6085	Solid Tissue	2	BS_CKHDFEEF	0.25010642723218807
BS_TG93XC55	7316-321	Solid Tissue	3	BS_94AP61Q5	0.22231682420638935
BS_TMTV769C	7316-449	Solid Tissue	3	BS_0QEBZX3M	0.05557920605159734
BS_TRZZRYKF	7316-5277	Solid Tissue	2	BS_MFXPEXWE	0.25010642723218807
BS_TV80600R	7316-2679	Solid Tissue	2	BS_RC3G012N	0.3056856332837854
BS_TVV122JG	7316-7760	Solid Tissue	3	BS_14ANJZNN	0.1945272211805907
BS_TWFDEMBZ	7316-3637	Solid Tissue	2	BS_MV12D03W	0.22231682420638935
BS_V0Q1G94N	7316-485	Solid Tissue	1	BS_042DVDQM	0.5557920605159734
BS_V2G1YE8R	7316-7520	Solid Tissue	2	BS_D9T75W2D	0.22231682420638935
BS_V33RCK1Y	7316-6963	Solid Tissue	2	BS_D67XNVBS	0.11115841210319467
BS_V3REENH9	7316-2566	Solid Tissue	1	BS_P3KD5EQG	0.22231682420638935
BS_V72GX2AZ	7316-472	Solid Tissue	2	BS_2F70R10Z	0.2778960302579867
BS_V7BJM89K	7316-217	Solid Tissue	1	BS_S88G7BXH	0.08336880907739601
BS_V7BZ049H	7316-5336	Solid Tissue	2	BS_X9B4XHPR	0.3612648393353827
BS_V89HGTET	7316-2197	Solid Tissue	1	BS_ABENB1H2	0.1945272211805907
BS_V92ZMBXX	C4113735-Tumor	Solid Tissue	3	BS_XA22ZVF2	0.7265687042155758
BS_VARR255N	7316-3522	Solid Tissue	1	BS_1GK2EMFY	0.33347523630958403
BS_VMMJYN8Z	7316-1783	Solid Tissue	3	BS_G61CN2V0	1.083794518006148
BS_VP3C8WZT	7316-391	Solid Tissue	1	BS_2CQ6K2JW	0.22231682420638935
BS_VP5Y45Z7	7316-658	Solid Tissue	1	BS_Y3ETG5AE	0.13894801512899335
BS_VR7FR1NE	7316-1928	Solid Tissue	1	BS_M8EBKZDG	0.7503192816965641
BS_VSSBS981	7316-9439	Solid Tissue	2	BS_M500BT9F	0.13894801512899335
BS_VTYNWK05	7316-6354	Solid Tissue	2	BS_P5D86TJ5	0.11115841210319467
BS_VW85Q4XJ	7316-2962	Solid Tissue	1	BS_ZJZFT0AJ	1.3061113422125374
BS_VZWXGYT2	7316-4269	Solid Tissue	2	BS_VBYZNS8M	0.3612648393353827
BS_W3R88RFP	7316-173	Solid Tissue	1	BS_DW1CYEXP	0.3056856332837854
BS_W4HGV6E7	7316-3040	Solid Tissue	3	BS_F48RA7QF	0.13894801512899335
BS_W97QQYKQ	7316-1071	Solid Tissue	1	BS_XKE77TR4	0.11115841210319467
BS_WCRKYV0T	7316-152	Solid Tissue	3	BS_KM878Y43	0.13894801512899335
BS_WERNRP82	7316-5765	Solid Tissue	3	BS_CCK2ZSTR	0.13894801512899335
BS_WG203ECV	7316-896	Solid Tissue	1	BS_Q3ANJDVG	0.11115841210319467
BS_WRQHPSXQ	7316-389	Solid Tissue	3	BS_HTGDSPQA	0.6669504726191681
BS_WYMX429C	7316-4208	Solid Tissue	2	BS_H3P7W3J4	0.13894801512899335
BS_X0F9AYEC	7316-196	Solid Tissue	3	BS_06GPPDHZ	0.6113712665675708
BS_X16PENSA	7316-1942	Solid Tissue	1	BS_4P25NNZD	0.22231682420638935
BS_X2EDW2ZB	7316-7059	Solid Tissue	3	BS_92JCRXPC	0.13894801512899335
BS_X59HSFGG	7316-1767	Solid Tissue	2	BS_KCN7NG92	0.4724232514385774
BS_X5DFR216	7316-4675	Solid Tissue	2	BS_KB1SX2N3	0.2778960302579867
BS_X6GFVDVA	7316-7932	Solid Tissue	2	BS_BF9N8YYP	0.08336880907739601
BS_X91K8KMG	7316-1659	Solid Tissue	2	BS_CGCNC41M	0.4446336484127787
BS_X9EGD530	7316-2204	Solid Tissue	1	BS_3C4YAMKJ	0.13894801512899335
BS_XGSA3GQE	7316-3062	Solid Tissue	1	BS_16TBX6G5	0.33347523630958403
BS_XX39AH8F	7316-4873	Solid Tissue	2	BS_FSRYGAR8	0.16673761815479202
BS_Y0PCBNJV	7316-643	Solid Tissue	1	BS_KVV3G6NP	0.02778960302579867
BS_Y274AC0H	7316-3077	Solid Tissue	2	BS_BAMEF0Q1	0.3056856332837854
BS_Y7F9E2E9	7316-2723	Solid Tissue	3	BS_78TQS4Y3	0.3890544423611814
BS_Y7H24JZG	7316-9493	Solid Tissue	2	BS_F44R8ARA	0.22231682420638935
BS_Y7W8BR6B	7316-9448	Solid Tissue	2	BS_P3966C69	0.1945272211805907
BS_YA8RBGD8	7316-1661	Solid Tissue	1	BS_2NN6ME5A	0.7225296786707655
BS_YASWHXJC	7316-4919	Solid Tissue	2	BS_Y608G5EA	0.2778960302579867
BS_YB2RXRHT	7316-3074	Solid Tissue	1	BS_E9M7TDB6	0.13894801512899335
BS_YBGXGEM3	7316-5306	Solid Tissue	2	BS_QCPQVQ94	0.1945272211805907
BS_YBGZ4BRP	7316-6385	Solid Tissue	3	BS_MW6GD645	0.25010642723218807
BS_YCREDZTJ	7316-2075	Solid Tissue	1	BS_SD28E0SC	0.33347523630958403
BS_YEQVW4ND	7316-2135	Solid Tissue	3	BS_B6K0N6HS	0.3056856332837854
BS_YG0A13JH	7316-2897	Solid Tissue	1	BS_8TFBNHT0	0.9726361059029536
BS_YH817HDT	7316-7521	Solid Tissue	3	BS_G8K76H0G	0.16673761815479202
BS_YMAJC22S	7316-2753	Solid Tissue	3	BS_WDTT7PG2	0.3056856332837854
BS_YT4E515V	7316-5889	Solid Tissue	3	BS_J47SXWH0	0.13894801512899335
BS_YVEEXAAT	7316-6663	Solid Tissue	2	BS_712XDVET	0.22231682420638935
BS_YVMEEBKC	7316-3055	Solid Tissue	1	BS_GCQEB05M	0.05557920605159734
BS_YWJKHMXV	7316-7068	Solid Tissue	3	BS_VDMRCJV1	0.13894801512899335
BS_YY5B2XDD	7316-460	Solid Tissue	1	BS_F1B71HTZ	0.08336880907739601
BS_YZ2Z1Q6Y	7316-3068	Solid Tissue	1	BS_KH0NFCWF	0.1945272211805907
BS_Z0AVVB1V	7316-146	Solid Tissue	1	BS_JJZPY3BG	0.05557920605159734
BS_Z0E26P1R	7316-4268	Solid Tissue	2	BS_6RZMWSV7	0.13894801512899335
BS_Z5ATH1YR	7316-4520	Solid Tissue	1	BS_F5YC39C8	0.13894801512899335
BS_Z6BWR941	7316-1683	Solid Tissue	1	BS_XVBX7ZK1	0.2778960302579867
BS_Z7Y2466H	7316-1226	Solid Tissue	1	BS_VQC2PE2B	0.25010642723218807
BS_ZHRGDRBW	7316-9447	Solid Tissue	3	BS_30230R49	0.02778960302579867
BS_ZJY7Y34M	7316-8833	Solid Tissue	3	BS_XCRTG7JN	0.05557920605159734
BS_ZRF3A49T	7316-3508	Solid Tissue	2	BS_0SYB7ZZ0	0.05557920605159734
BS_ZRM0W01M	7316-470	Solid Tissue	3	BS_9E6Q11G2	0.05557920605159734
BS_ZTWGFWTX	7316-3054	Solid Tissue	1	BS_K3YT05M7	0.3056856332837854
BS_ZV9Z3SY6	7316-1794	Solid Tissue	1	BS_X9PJ715R	0.11115841210319467
BS_ZVX2GRD6	7316-9	Solid Tissue	2	BS_PEDGRK8S	0.3612648393353827
BS_ZVZDDW2G	7316-2664	Solid Tissue	1	BS_C1RRDNF5	0.4446336484127787
BS_ZZMYDZJW	7316-436	Solid Tissue	1	BS_50XV7CTQ	0.05557920605159734
BS_ZZWMD6FA	7316-2901	Solid Tissue	1	BS_XW26N96W	0.1945272211805907
